JUDUL BUKU,PENULIS/PENGARANG,PENERBIT,TANGGAL/BULAN/TAHUN PEROLEHAN,HARGA SATUAN,BARANG,HARGA TOTAL 
Adab mulia terhadab guru,Nuha Rifqia,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Aneka Cabang Olah Raga,Aminudin,Mutiara Ilmu Bandung,3 JANUARI 2021,34.5,2,69.0
Anugerah Gunung Merapi,Wiwik Sulistyorini,Mediatama,3 JANUARI 2021,33.5,2,67.0
Ayo Berlatih Menulis Surat,Titiek Maryuni,Mediatama,3 JANUARI 2021,37.5,2,75.0
"Ayo, Bangun untuk Salat Subuh",Dewi Atuti,Imperial Bhakti Utama,3 JANUARI 2021,30.0,2,60.0
Bencana Alam Geologi,P. Heru Susila,Pustaka Tiga Kelana,3 JANUARI 2021,39.4,2,78.8
Berjuta Keajaiban Dunia Tumbuhan,Suryati,Empat Pilar,3 JANUARI 2021,30.0,2,60.0
Budi Daya Anggrek,Novriyanti,Karya Mandiri Nusantara,3 JANUARI 2021,37.5,2,75.0
Budi Daya Tanaman Obat,Budi Setyo Wicaksono,Karya Mandiri Nusantara,3 JANUARI 2021,33.5,3,100.5
Dosa-Dosa Besar Meruntuhkan Amal dan Kebajikan,Prof. Desteghib,Trisula Adisakti,3 JANUARI 2021,36.0,1,36.0
Dosa-Dosa Besar Meruntuhkan Amal dan Kebajikan,Prof. Desteghib,Trisula Adisakti,3 JANUARI 2021,37.5,1,37.5
Efek Rumah Kaca,Siti Mukaromah,Mediatama,3 JANUARI 2021,38.0,2,76.0
Energi,"Ichwan Budi U, Edi Sutrisno",Suara Media Sejahtera,3 JANUARI 2021,37.5,2,75.0
Ensiklopedia Matematika Terapan Matematika dalam Makanan,Sue Thomson & Ian Forster,Cempaka Putih,3 JANUARI 2021,37.5,1,37.5
Ensiklopedia Sejarah dan Budaya Jilid 4  Revolusi dan kemerdekaan unifikasi dan kolonisasi,Miranda Smith,Lentera Abadi,3 JANUARI 2021,150.0,1,150.0
Ensiklopedia Sejarah dan budaya Jilid 7; Dibawah kolonialisme Barat,"Nino Oktorino, dkk.",Lentera Abadi,3 JANUARI 2021,109.0,1,109.0
Fiqhul Haidh  (kajian Tentang Fiqih),Muhammad bin Abdil qohar,Megah Jaya,3 JANUARI 2021,40.0,1,40.0
Fiqhul Haidh  (kajian Tentang Fiqih),Muhammad bin Abdil qohar,Megah Jaya,3 JANUARI 2021,50.0,1,50.0
"Gaptek, No Way 1 (Mengenal Komputer Dasar dan Aplikasi Sederhana) Ver. 1",ES. Ningrum,Mediatama,3 JANUARI 2021,36.0,2,72.0
"Gaptek, No Way 2 (Microsoft Word) ",ES. Ningrum,Mediatama,3 JANUARI 2021,33.5,2,67.0
Guru Menulis di Media Massa,Hendy Hermawan,Citra Praya,3 JANUARI 2021,38.0,2,76.0
"Ilmu dan Aplikasi Pendidikan IV ""Pendidikan Lintas Bidang""",Tim Pengembang Ilmu Pend.FIP UPI,Imperial Bhakti Utama,3 JANUARI 2021,93.5,1,93.5
Indahnya Budaya Tertib lalu lintas,Rohmat Yuliato,Karya Mandiri Nusantara,3 JANUARI 2021,36.0,2,72.0
"Indonesia Masa Lalu "" Dari Zaman Prasejarah hingga Zaman Reformasi",Muh. Nur El-Ibrahim,Mediatama,3 JANUARI 2021,33.5,1,33.5
Indonesiaku 16 Provinsi Sumatera Barat,Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Indonesiaku 2 Provinsi Jawa Barat,Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Indonesiaku 33 Provinsi Papua,Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,38.0,3,114.0
Indonesiaku 5 Provinsi Jawa Timur,Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Indonesiaku 9 Provinsi NTT,Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,1,34.5
Jelajah Museum Jawa Timur dan Bali,Vivied D. Utami,Empat Pilar,3 JANUARI 2021,30.0,2,60.0
Karakter Diri di Balik Juz Al Qur'an,H. Ziyad Ul-Haq At-Tubany,Rahma Media Pustaka,3 JANUARI 2021,40.0,1,40.0
Karakter Diri di Balik Juz Al Qur'an,H. Ziyad Ul-Haq At-Tubany,Rahma Media Pustaka,3 JANUARI 2021,50.0,1,50.0
Keaajaiban Adab Pertengahan 2,Diana Tri Hartati,Empat Pilar,3 JANUARI 2021,30.0,2,60.0
Keaajaiban Dunia Baru 6,Diana Tri Hartati,Empat Pilar,3 JANUARI 2021,30.0,2,60.0
Keajaiban Dunia Kuno 1,Diana Tri Hartati,Empat Pilar,3 JANUARI 2021,30.0,2,60.0
Keajaiban Dunia Moder Jilid 5,Diana Tri Hartati,Empat Pilar,3 JANUARI 2021,30.0,2,60.0
Kesehatan di Sekolah,Pung Pribadi,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Kisah Nabi Muhammad SAW,Slamet Al Baroq,Mediatama,3 JANUARI 2021,34.5,2,69.0
Kisah-Kisah Rosulullah,Abbas Ali Musawi,Trisula Adisakti,3 JANUARI 2021,35.0,2,70.0
Kisah-Kisah dalam Al-Qur'an 1 (Ulul Azmi),Miftah F.,Megah Jaya,3 JANUARI 2021,32.0,2,64.0
Madu Asli atau Tidak?,M. Sadyi Masun,Karya Mandiri Nusantara,3 JANUARI 2021,37.5,2,75.0
Mahir Menggunakan Kamus Bahasa Indonesia,Rachmat Taufiq Hidayah,Wahana Iptek Bandung,3 JANUARI 2021,31.5,1,31.5
Manfaat Tanaman Keras Indonesia,Soebiyanto,Karya Mandiri Nusantara,3 JANUARI 2021,35.0,2,70.0
Mau kaya ngak Harus kuliah  4,Suranto S. Siswaya,Suara Media Sejahtera,3 JANUARI 2021,37.5,2,75.0
Memajukan Daerah Tertinggal,Hardjana HP.,Mediatama,3 JANUARI 2021,33.5,1,33.5
Membuat Batako,Sugeng Suprapto,Suara Media Sejahtera,3 JANUARI 2021,37.5,1,37.5
Mengenal Dunia,Yudha,Eka Cipta Sentosa,3 JANUARI 2021,35.0,2,70.0
Mengenal Pahlawan,Devi Andriana,Mitra Aksara Panaitan,3 JANUARI 2021,38.7,2,77.4
Mengenali dan Mengobati Penyakit,Djelita Aulia Hapsari,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,2,69.0
Menggapai Kesuksesan Masa Depan ,"Suranto, ZHA, Khonsa Siswaya",Karya Mandiri Nusantara,3 JANUARI 2021,33.5,2,67.0
Menghindari Berbagai bencana alam,Hardjana Hp.,Karya Mandiri Nusantara,3 JANUARI 2021,33.3,2,66.6
Menuju Olimpiade Fisika,Cari,Mediatama,3 JANUARI 2021,98.2,1,98.2
Menuju Olimpiade Fisika,Cari,Mediatama,3 JANUARI 2021,102.0,1,102.0
Orang-Orang Belanda di Pintu Darurat,M. Unggul Wibowo,Mediatama,3 JANUARI 2021,34.5,2,69.0
Panduan Praktis Berbusana,Tita,Nobel Edumedia,3 JANUARI 2021,30.0,2,60.0
Pengetahuan tentang Mata Uang,Irwan Kusdinar,Sarana Panca Karya Nusa,3 JANUARI 2021,31.1,2,62.2
Perkembangan Masyarakat pada Masa Kerajaan Hindu Buddha serta Peninggalannya,Sucipto,Tiga Serangkai,3 JANUARI 2021,38.0,2,76.0
Pertolongan Pertama pada Penyakit 2,Nabila,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,1,34.5
"Petunjuk Mendapatkan Lailatul Qodar ""disertai dengan Hadits Shahih""",Dr. Faruq Hamadah,Rahma Media Pustaka,3 JANUARI 2021,30.0,1,30.0
Pi;kades Sukses pembangunan Beres,Agus Wijatmoko,Mediatama,3 JANUARI 2021,37.5,1,37.5
PiLkades Sukses pembangunan Beres,Agus Wijatmoko,Mediatama,3 JANUARI 2021,37.5,1,37.5
Rambut Tipis Potongan Oval Trap Solusinya,Dra. Amik Kristanti; Drs. Khoirudin,Mediatama,3 JANUARI 2021,37.5,2,75.0
Referensi Matematika dalam Kehidupan Manusia 4,"Dr. Wahyudin; Drs. Sudrajat,M.Pd.",IPA Abong,3 JANUARI 2021,55.0,1,55.0
Sampah Itu Emas,Putri Lutfi Ifafah,Karya Mandiri Nusantara,3 JANUARI 2021,34.5,1,34.5
Sejarah Eropa,"Drs. Herimanto, M.Si",Mediatama,3 JANUARI 2021,40.0,1,40.0
Sejarah Eropa,"Drs. Herimanto, M.Si",Mediatama,3 JANUARI 2021,50.0,1,50.0
Sejarah Nenek Moyang Jawa,Radhita Subalidinata dan Bisri M. Djaelani,Suara Media Sejahtera,3 JANUARI 2021,37.5,2,75.0
Sejarah Perkembangan Islam,N. Abbas Wahid,Tiga Serangkai,3 JANUARI 2021,32.0,2,64.0
Selayang Pandang Gorontalo,Ir. Nugroho Yuananto,Intan Pariwara,3 JANUARI 2021,38.5,1,38.5
Selayang Pandang Gunung Lawu (Wisata dan Mitos),Suryo Domas Sri PB.,Mediatama,3 JANUARI 2021,33.5,3,100.5
Selayang Pandang Indonesiaku,"Drs. Warsito Adnan, M.Pd., Dra. Yuyunita, D.A., Drs. Purwanto J. Sulistiono",Tiga Serangkai,3 JANUARI 2021,38.0,1,38.0
Seri Akhlak Mulia VI : Hidup Berhias Ilmu,"Prof. Dr. Achmad Mubarok, M.A., dkk",Imperial Bhakti Utama,3 JANUARI 2021,36.3,1,36.3
Seri Pahlawan Nasional: RA Kartini,B.A. Saleh,Citra Praya,3 JANUARI 2021,38.0,2,76.0
Sumber Air Panas Sari Ater,Choirul Anwar,Mediatama,3 JANUARI 2021,37.5,2,75.0
Tanaman Obat Tradisional Jilid I,Sopandi,Sarana Panca Karya Nusa,3 JANUARI 2021,35.0,2,70.0
Terbang ke Angkasa Bersama Observatorium Bosscha,Keen Achroni,Mediatama,3 JANUARI 2021,30.0,2,60.0
Waspada Banjir dan Tanah Longsor 2,"Adcharina Pratiwi, Suparti",Karya Mandiri Nusantara,3 JANUARI 2021,37.5,2,75.0
Zamrud Khatulistiwa Indonesia,Nursanti Riandini,Bee Media Indonesia,3 JANUARI 2021,40.0,1,40.0
Zamrud Khatulistiwa Indonesia,Nursanti Riandini,Bee Media Indonesia,3 JANUARI 2021,50.0,1,50.0
Ziarah Makam Walisongo,Hardjana HP,Mediatama,3 JANUARI 2021,38.0,2,76.0
